language,idiom,type,genlang_point,map,feature,value1_name,value1,source,page,contributor,date,value2_name,value2,contributer
Botlikh,Botlikh,village,yes,yes,Presence of geminates,Presence of geminates,attested,alexeyevverheesdraft2020,,George Moroz,2021.10.04,,,
Budukh,Budug,village,yes,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,345,George Moroz,2017.05.06,,,
Budukh,Budug,village,no,no,Presence of geminates,Presence of geminates,not attested,talibov2007,35,George Moroz,2021.10.04,,,
Chamalal,Chamalal,language,no,yes,Presence of geminates,Presence of geminates,attested,bokarev1949a,"12, 15",George Moroz,2021.10.04,,,
Chamalal,Gigatl',village,yes,yes,Presence of geminates,Presence of geminates,attested,kibrikkodzasov1990,324,George Moroz,2017.05.06,,,
Chechen,Standard Chechen,language,yes,yes,Presence of geminates,Presence of geminates,attested,nichols1994,4,George Moroz,2021.10.04,,,
Dargwa,Chirag,village,no,yes,Presence of geminates,Presence of geminates,attested,kibrikkodzasov1990,334,George Moroz,2017.05.06,,,
Dargwa,Kaitag,dialect_toplevel,no,yes,Presence of geminates,Presence of geminates,attested,temirbulatova2004,39,George Moroz,2021.10.04,,,
Dargwa,Mehweb,village,yes,yes,Presence of geminates,Presence of geminates,not attested,moroz2017,22--34,George Moroz,2021.10.04,,,
Dargwa,Tanty,village,no,yes,Presence of geminates,Presence of geminates,attested,sumbatovalander2014,40--41,George Moroz,2021.10.04,,,
Georgian,Standard Georgian,language,yes,yes,Presence of geminates,Presence of geminates,not attested,hewitt1995,19,George Moroz,2021.10.04,,,
Godoberi,Godoberi,village,yes,yes,Presence of geminates,Presence of geminates,attested,morozdraft2021,2,George Moroz,2021.10.04,,,
Hinuq,Genukh,village,yes,yes,Presence of geminates,Presence of geminates,not attested,forker2013,29,George Moroz,2021.10.04,,,
Hinuq,Genukh,village,no,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,329,George Moroz,2017.05.06,,,
Hunzib,Gunzib,village,yes,yes,Presence of geminates,Presence of geminates,not attested,isakovxalilov2001,260,George Moroz,2021.10.04,,,
Hunzib,Gunzib,village,no,yes,Presence of geminates,Presence of geminates,not attested,kibrikkodzasov1990,332,George Moroz,2017.05.06,,,
